#OTU ID	F3D0	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D1	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
Otu68	15	5	9	5	7	12	3	10	12	3	9	2	16	14	18	4	11	6	8	0
Otu147	3	0	0	0	0	0	3	2	0	1	0	5	0	1	2	1	1	4	3	0
Otu104	13	2	2	0	3	1	15	6	7	7	9	10	5	0	8	11	1	14	11	0
Otu114	1	0	0	0	0	0	0	0	1	0	0	3	3	0	15	6	0	2	16	0
Otu130	3	2	0	0	5	3	3	4	4	6	8	3	3	2	7	2	3	2	0	0
Otu133	4	4	2	5	2	1	3	1	2	3	3	0	0	0	0	1	0	1	1	0
Otu35	23	48	7	74	3	13	35	8	25	29	45	34	14	4	31	17	13	30	27	1
Otu151	2	1	0	2	0	0	1	0	1	1	0	2	1	2	2	3	0	1	2	0
Otu131	9	0	0	0	0	0	1	0	1	1	0	0	1	0	0	6	4	4	10	0
Otu70	4	18	2	28	10	4	17	3	8	36	24	11	11	8	13	11	10	9	10	0
Otu128	4	4	0	7	2	3	3	2	4	2	4	1	3	0	8	4	0	10	8	0
Otu165	2	1	5	2	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0
Otu95	5	7	2	2	2	1	4	0	2	10	11	24	6	2	3	3	3	9	3	0
Otu117	8	0	0	0	2	1	15	1	1	2	1	7	3	3	7	4	0	6	4	0
Otu120	6	1	7	2	5	5	0	2	2	4	8	0	2	0	0	2	0	4	1	0
Otu41	16	33	5	9	5	2	20	14	13	13	20	39	17	12	28	18	8	26	22	0
Otu98	3	6	2	0	2	0	4	0	3	4	3	8	3	4	13	2	3	19	9	0
Otu150	10	0	0	0	2	0	0	0	1	0	1	1	1	0	2	0	0	0	0	0
Otu197	4	11	17	16	7	11	1	16	11	7	5	9	8	4	7	8	1	6	6	0
Otu92	9	2	0	2	3	1	6	6	4	5	11	6	4	2	8	7	0	10	7	0
Otu45	9	4	9	2	5	2	10	13	14	18	12	24	15	4	34	23	25	62	100	0
Otu97	3	2	2	2	2	1	1	2	1	4	3	5	13	22	26	9	4	2	2	1
Otu132	1	1	2	0	0	0	1	0	1	1	1	2	2	0	2	3	3	5	13	0
Otu174	6	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	0	1	3	0
Otu210	3	1	0	2	0	1	4	0	4	2	1	2	1	3	2	4	3	4	1	0
Otu172	3	0	2	0	0	1	1	1	0	0	1	0	1	1	5	0	0	0	1	0
Otu208	6	5	2	9	3	3	7	1	5	10	5	0	1	0	0	1	1	0	1	0
Otu191	4	0	0	0	2	0	0	1	0	2	1	1	0	0	0	0	0	1	0	0
Otu36	4	10	0	2	2	1	14	4	9	18	20	80	19	9	75	20	8	20	28	0
Otu182	9	6	5	2	3	5	7	29	8	12	4	12	5	1	11	31	1	7	10	0
Otu144	4	0	2	0	0	0	0	0	0	0	0	11	1	0	2	2	0	11	5	0
Otu76	18	25	12	14	10	5	31	13	9	6	16	6	13	2	7	20	6	19	20	0
Otu209	11	0	5	5	7	1	6	0	1	2	1	8	1	0	3	4	0	4	4	0
Otu160	1	0	0	0	2	2	0	0	1	1	0	3	1	0	2	1	0	0	1	0
Otu107	7	0	0	2	2	2	0	0	3	1	1	8	4	1	3	4	1	6	6	2
Otu65	21	19	0	9	2	7	7	6	10	8	4	3	12	20	18	7	24	10	15	1
Otu63	4	2	0	0	2	2	1	2	1	1	1	2	1	1	7	4	3	4	2	208
