Sample	richness	shannon_2
F3D0	150.0	5.57
F3D141	144.0	5.03
F3D142	133.0	4.81
F3D143	127.0	5.02
F3D144	139.0	4.58
F3D145	149.0	4.50
F3D146	149.0	5.34
F3D147	166.0	4.70
F3D148	157.0	4.86
F3D149	165.0	5.21
F3D150	150.0	5.39
F3D1	137.0	5.80
F3D2	161.0	5.26
F3D3	121.0	4.63
F3D5	129.0	5.65
F3D6	146.0	5.20
F3D7	119.0	4.57
F3D8	148.0	5.55
F3D9	153.0	5.58
Mock	30.0	4.01
